GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo-app,com.example.demo_app,OddEven,5,6,1,1,2,2,2,1,1,1
demo-app,com.example.demo_app,App,7,0,0,0,3,0,2,0,2,0
